UCSC.style.name	UCSC_Genome_Name	Sequence.Name	NCBI_Genome_Name
chr1_jh806575_fix	hg19	HG1473_PATCH	
chr2_gl877870_fix	hg19	HG1007_PATCH	
chr2_gl877871_fix	hg19	HG686_PATCH	
chr2_kb663603_fix	hg19	HG953_PATCH	
chr3_gl383523_fix	hg19	HG186_PATCH	
chr3_gl383524_fix	hg19	HG280_PATCH	
chr3_gl383525_fix	hg19	HG991_PATCH	
chr3_jh159131_fix	hg19	HG1091_PATCH	
chr3_jh159132_fix	hg19	HG325_PATCH	
chr3_ke332495_fix	hg19	HG957_PATCH	
chr4_gl582967_fix	hg19	HG706_PATCH	
chr4_gl877872_fix	hg19	HG1032_PATCH	
chr4_ke332496_fix	hg19	HG174_HG254_PATCH	
chr5_jh159133_fix	hg19	HG1063_PATCH	
chr5_ke332497_fix	hg19	HG1082_HG167_PATCH	
chr6_jh636056_fix	hg19	HG1304_PATCH	
chr6_jh636057_fix	hg19	HG1322_PATCH	
chr6_jh806576_fix	hg19	HG27_PATCH	
chr6_kb663604_fix	hg19	HG357_PATCH	
chr6_ke332498_fix	hg19	HG193_PATCH	
chr7_gl582968_fix	hg19	HG115_PATCH	
chr7_gl582969_fix	hg19	HG14_PATCH	
chr7_gl582970_fix	hg19	HG736_PATCH	
chr7_gl582971_fix	hg19	HG7_PATCH	
chr7_gl582972_fix	hg19	HG946_PATCH	
chr7_jh159134_fix	hg19	HG1257_PATCH	
chr7_jh636058_fix	hg19	HG1308_PATCH	
chr7_ke332499_fix	hg19	HG444_PATCH	
chr8_gl383535_fix	hg19	HG104_HG975_PATCH	
chr8_gl383536_fix	hg19	HG243_PATCH	
chr8_gl949743_fix	hg19	HG19_PATCH	
chr8_jh159135_fix	hg19	HG418_PATCH	
chr8_ke332500_fix	hg19	HG1699_PATCH	
chr9_gl339450_fix	hg19	HG79_PATCH	
chr9_gl383537_fix	hg19	HG998_1_PATCH	
chr9_gl383538_fix	hg19	HG998_2_PATCH	
chr9_jh636059_fix	hg19	HG962_PATCH	
chr9_jh806577_fix	hg19	HG1500_PATCH	
chr9_jh806578_fix	hg19	HG1501_PATCH	
chr9_jh806579_fix	hg19	HG1502_PATCH	
chr9_kb663605_fix	hg19	HG50_PATCH	
chr10_gl383543_fix	hg19	HG544_PATCH	
chr10_gl383544_fix	hg19	HG995_PATCH	
chr10_gl877873_fix	hg19	HG905_PATCH	
chr10_jh591181_fix	hg19	HG1211_PATCH	
chr10_jh591182_fix	hg19	HG311_PATCH	
chr10_jh591183_fix	hg19	HG339_PATCH	
chr10_jh636060_fix	hg19	HG871_PATCH	
chr10_jh806580_fix	hg19	HG1479_PATCH	
chr10_kb663606_fix	hg19	HG1074_PATCH	
chr10_ke332501_fix	hg19	HG979_PATCH	
chr11_gl582973_fix	hg19	HG281_PATCH	
chr11_gl949744_fix	hg19	HG536_PATCH	
chr11_jh159138_fix	hg19	HG299_PATCH	
chr11_jh159139_fix	hg19	HG305_PATCH	
chr11_jh159140_fix	hg19	HG306_PATCH	
chr11_jh159141_fix	hg19	HG348_PATCH	
chr11_jh159142_fix	hg19	HG388_HG400_PATCH	
chr11_jh159143_fix	hg19	HG414_PATCH	
chr11_jh591184_fix	hg19	HG256_PATCH	
chr11_jh591185_fix	hg19	HG873_PATCH	
chr11_jh720443_fix	hg19	HG122_PATCH	
chr11_jh806581_fix	hg19	HG865_PATCH	
chr12_gl383548_fix	hg19	HG996_PATCH	
chr12_gl582974_fix	hg19	HG858_PATCH	
chr12_jh720444_fix	hg19	HG344_PATCH	
chr12_kb663607_fix	hg19	HG1595_PATCH	
chr13_gl582975_fix	hg19	HG531_PATCH	
chr14_kb021645_fix	hg19	HG1592_PATCH	
chr15_jh720445_fix	hg19	HG971_PATCH	
chr16_jh720446_fix	hg19	HG1208_PATCH	
chr17_gl383558_fix	hg19	HG183_PATCH	
chr17_gl383559_fix	hg19	HG745_PATCH	
chr17_gl383560_fix	hg19	HG75_PATCH	
chr17_gl383561_fix	hg19	HG987_PATCH	
chr17_gl383562_fix	hg19	HG990_PATCH	
chr17_gl582976_fix	hg19	HG185_PATCH	
chr17_jh159144_fix	hg19	HG747_PATCH	
chr17_jh159145_fix	hg19	HG883_PATCH	
chr17_jh591186_fix	hg19	HG748_PATCH	
chr17_jh636061_fix	hg19	HG271_PATCH	
chr17_jh720447_fix	hg19	HG1146_PATCH	
chr17_jh806582_fix	hg19	HG417_PATCH	
chr17_kb021646_fix	hg19	HG385_PATCH	
chr17_ke332502_fix	hg19	HG1591_PATCH	
chr19_gl582977_fix	hg19	HG730_PATCH	
chr19_jh159149_fix	hg19	HG729_PATCH	
chr19_kb021647_fix	hg19	HG1079_PATCH	
chr19_ke332505_fix	hg19	HG1350_HG959_PATCH	
chr20_gl582979_fix	hg19	HG506_HG507_HG1000_PATCH	
chr20_jh720448_fix	hg19	HG144_PATCH	
chr20_kb663608_fix	hg19	HG944_PATCH	
chr21_ke332506_fix	hg19	HG237_PATCH	
chr22_jh720449_fix	hg19	HG329_PATCH	
chr22_jh806583_fix	hg19	HG1486_PATCH	
chr22_jh806584_fix	hg19	HG1487_PATCH	
chr22_jh806585_fix	hg19	HG1488_PATCH	
chr22_jh806586_fix	hg19	HG497_PATCH	
chrX_gl877877_fix	hg19	HG480_HG481_PATCH	
chrX_jh159150_fix	hg19	HG1497_PATCH	
chrX_jh720451_fix	hg19	HG1423_PATCH	
chrX_jh720452_fix	hg19	HG1424_PATCH	
chrX_jh720453_fix	hg19	HG1425_PATCH	
chrX_jh720454_fix	hg19	HG1426_PATCH	
chrX_jh720455_fix	hg19	HG375_PATCH	
chrX_jh806587_fix	hg19	HG1433_PATCH	
chrX_jh806588_fix	hg19	HG1434_PATCH	
chrX_jh806589_fix	hg19	HG1435_PATCH	
chrX_jh806590_fix	hg19	HG1436_HG1432_PATCH	
chrX_jh806591_fix	hg19	HG1437_PATCH	
chrX_jh806592_fix	hg19	HG1438_PATCH	
chrX_jh806593_fix	hg19	HG1439_PATCH	
chrX_jh806594_fix	hg19	HG1440_PATCH	
chrX_jh806595_fix	hg19	HG1441_PATCH	
chrX_jh806596_fix	hg19	HG1442_PATCH	
chrX_jh806597_fix	hg19	HG1443_HG1444_PATCH	
chrX_jh806598_fix	hg19	HG1453_PATCH	
chrX_jh806599_fix	hg19	HG1458_PATCH	
chrX_jh806600_fix	hg19	HG1459_PATCH	
chrX_jh806601_fix	hg19	HG1462_PATCH	
chrX_jh806602_fix	hg19	HG1463_PATCH	
chrX_jh806603_fix	hg19	HG1490_PATCH	
chrX_kb021648_fix	hg19	HG29_PATCH	
chr1_gl383518_alt	hg19	HSCHR1_1_CTG31	
chr1_gl383519_alt	hg19	HSCHR1_2_CTG31	
chr1_gl383520_alt	hg19	HSCHR1_3_CTG31	
chr2_gl383521_alt	hg19	HSCHR2_1_CTG1	
chr2_gl383522_alt	hg19	HSCHR2_1_CTG12	
chr2_gl582966_alt	hg19	HSCHR2_2_CTG12	
chr3_gl383526_alt	hg19	HSCHR3_1_CTG2_1	
chr3_jh636055_alt	hg19	HSCHR3_1_CTG1	
chr4_gl383527_alt	hg19	HSCHR4_1_CTG12	
chr4_gl383528_alt	hg19	HSCHR4_1_CTG6	
chr4_gl383529_alt	hg19	HSCHR4_2_CTG9	
chr5_gl339449_alt	hg19	HSCHR5_1_CTG1	
chr5_gl383530_alt	hg19	HSCHR5_1_CTG2	
chr5_gl383531_alt	hg19	HSCHR5_1_CTG5	
chr5_gl383532_alt	hg19	HSCHR5_2_CTG1	
chr5_gl949742_alt	hg19	HSCHR5_3_CTG1	
chr6_gl383533_alt	hg19	HSCHR6_1_CTG5	
chr6_kb021644_alt	hg19	HSCHR6_2_CTG5	
chr7_gl383534_alt	hg19	HSCHR7_1_CTG6	
chr9_gl383539_alt	hg19	HSCHR9_1_CTG1	
chr9_gl383540_alt	hg19	HSCHR9_1_CTG35	
chr9_gl383541_alt	hg19	HSCHR9_2_CTG35	
chr9_gl383542_alt	hg19	HSCHR9_3_CTG35	
chr10_gl383545_alt	hg19	HSCHR10_1_CTG2	
chr10_gl383546_alt	hg19	HSCHR10_1_CTG5	
chr11_gl383547_alt	hg19	HSCHR11_1_CTG1_1	
chr11_jh159136_alt	hg19	HG142_HG150_NOVEL_TEST	
chr11_jh159137_alt	hg19	HG151_NOVEL_TEST	
chr12_gl383549_alt	hg19	HSCHR12_1_CTG2	
chr12_gl383550_alt	hg19	HSCHR12_1_CTG2_1	
chr12_gl383551_alt	hg19	HSCHR12_1_CTG5	
chr12_gl383552_alt	hg19	HSCHR12_2_CTG2_1	
chr12_gl383553_alt	hg19	HSCHR12_3_CTG2_1	
chr12_gl877875_alt	hg19	HSCHR12_1_CTG1	
chr12_gl877876_alt	hg19	HSCHR12_2_CTG2	
chr12_gl949745_alt	hg19	HG1133_PATCH	
chr15_gl383554_alt	hg19	HSCHR15_1_CTG4	
chr15_gl383555_alt	hg19	HSCHR15_1_CTG8	
chr16_gl383556_alt	hg19	HSCHR16_1_CTG3_1	
chr16_gl383557_alt	hg19	HSCHR16_2_CTG3_1	
chr17_gl383563_alt	hg19	HSCHR17_1_CTG1	
chr17_gl383564_alt	hg19	HSCHR17_1_CTG4	
chr17_gl383565_alt	hg19	HSCHR17_2_CTG4	
chr17_gl383566_alt	hg19	HSCHR17_3_CTG4	
chr17_jh159146_alt	hg19	HSCHR17_4_CTG4	
chr17_jh159147_alt	hg19	HSCHR17_5_CTG4	
chr17_jh159148_alt	hg19	HSCHR17_6_CTG4	
chr18_gl383567_alt	hg19	HSCHR18_1_CTG1_1	
chr18_gl383568_alt	hg19	HSCHR18_1_CTG2	
chr18_gl383569_alt	hg19	HSCHR18_1_CTG2_1	
chr18_gl383570_alt	hg19	HSCHR18_2_CTG1_1	
chr18_gl383571_alt	hg19	HSCHR18_2_CTG2	
chr18_gl383572_alt	hg19	HSCHR18_2_CTG2_1	
chr19_gl383573_alt	hg19	HSCHR19_1_CTG3	
chr19_gl383574_alt	hg19	HSCHR19_1_CTG3_1	
chr19_gl383575_alt	hg19	HSCHR19_2_CTG3	
chr19_gl383576_alt	hg19	HSCHR19_3_CTG3	
chr19_gl949746_alt	hg19	HSCHR19LRC_COX1_CTG1	
chr19_gl949747_alt	hg19	HSCHR19LRC_COX2_CTG1	
chr19_gl949748_alt	hg19	HSCHR19LRC_LRC_I_CTG1	
chr19_gl949749_alt	hg19	HSCHR19LRC_LRC_J_CTG1	
chr19_gl949750_alt	hg19	HSCHR19LRC_LRC_S_CTG1	
chr19_gl949751_alt	hg19	HSCHR19LRC_LRC_T_CTG1	
chr19_gl949752_alt	hg19	HSCHR19LRC_PGF1_CTG1	
chr19_gl949753_alt	hg19	HSCHR19LRC_PGF2_CTG1	
chr20_gl383577_alt	hg19	HSCHR20_1_CTG1	
chr21_gl383578_alt	hg19	HSCHR21_1_CTG1_1	
chr21_gl383579_alt	hg19	HSCHR21_2_CTG1_1	
chr21_gl383580_alt	hg19	HSCHR21_3_CTG1_1	
chr21_gl383581_alt	hg19	HSCHR21_4_CTG1_1	
chr22_gl383582_alt	hg19	HSCHR22_1_CTG1	
chr22_gl383583_alt	hg19	HSCHR22_1_CTG2	
chr22_kb663609_alt	hg19	HSCHR22_2_CTG1	
GL000207.1		GL000207.1	hs37d5
GL000226.1		GL000226.1	hs37d5
GL000229.1		GL000229.1	hs37d5
GL000231.1		GL000231.1	hs37d5
GL000210.1		GL000210.1	hs37d5
GL000239.1		GL000239.1	hs37d5
GL000235.1		GL000235.1	hs37d5
GL000201.1		GL000201.1	hs37d5
GL000247.1		GL000247.1	hs37d5
GL000245.1		GL000245.1	hs37d5
GL000197.1		GL000197.1	hs37d5
GL000203.1		GL000203.1	hs37d5
GL000246.1		GL000246.1	hs37d5
GL000249.1		GL000249.1	hs37d5
GL000196.1		GL000196.1	hs37d5
GL000248.1		GL000248.1	hs37d5
GL000244.1		GL000244.1	hs37d5
GL000238.1		GL000238.1	hs37d5
GL000202.1		GL000202.1	hs37d5
GL000234.1		GL000234.1	hs37d5
GL000232.1		GL000232.1	hs37d5
GL000206.1		GL000206.1	hs37d5
GL000240.1		GL000240.1	hs37d5
GL000236.1		GL000236.1	hs37d5
GL000241.1		GL000241.1	hs37d5
GL000243.1		GL000243.1	hs37d5
GL000242.1		GL000242.1	hs37d5
GL000230.1		GL000230.1	hs37d5
GL000237.1		GL000237.1	hs37d5
GL000233.1		GL000233.1	hs37d5
GL000204.1		GL000204.1	hs37d5
GL000198.1		GL000198.1	hs37d5
GL000208.1		GL000208.1	hs37d5
GL000191.1		GL000191.1	hs37d5
GL000227.1		GL000227.1	hs37d5
GL000228.1		GL000228.1	hs37d5
GL000214.1		GL000214.1	hs37d5
GL000221.1		GL000221.1	hs37d5
GL000209.1		GL000209.1	hs37d5
GL000218.1		GL000218.1	hs37d5
GL000220.1		GL000220.1	hs37d5
GL000213.1		GL000213.1	hs37d5
GL000211.1		GL000211.1	hs37d5
GL000199.1		GL000199.1	hs37d5
GL000217.1		GL000217.1	hs37d5
GL000216.1		GL000216.1	hs37d5
GL000215.1		GL000215.1	hs37d5
GL000205.1		GL000205.1	hs37d5
GL000219.1		GL000219.1	hs37d5
GL000224.1		GL000224.1	hs37d5
GL000223.1		GL000223.1	hs37d5
GL000195.1		GL000195.1	hs37d5
GL000212.1		GL000212.1	hs37d5
GL000222.1		GL000222.1	hs37d5
GL000200.1		GL000200.1	hs37d5
GL000193.1		GL000193.1	hs37d5
GL000194.1		GL000194.1	hs37d5
GL000225.1		GL000225.1	hs37d5
GL000192.1		GL000192.1	hs37d5
NC_007605		NC_007605	hs37d5
hs37d5		hs37d5	hs37d5
chrM		MT	hs37d5
